code;name;cost_max;unit;current_stock;dpto_code;orden;cost_oferta;cost_mayor;cost_min
GA010-01;CONECTOR CONMUTADOR VIDRIOS ELECTRICOS G.M. (MALIBU. IMPALA. CAPRICE. MONTECARLO) 4 PASES;1.46;PZA;29;AUTO.06;1;0;0;0
GA010-02;CAJA DE FUSIBLE DE TOYOTA;0;PZA;0;AUTO.06;1;0;0;0
GA010-03;FUSIBLERA UNIVERSAL 10 FUSIBLES MODERNOS CON CABLE;0;PZA;0;AUTO.06;1;0;0;0
GA011-01;CONECTOR SWICHERA DE IGNICION FORD (LS-118-121-169);4.16;PZA;10;AUTO.06;1;0;0;0
GA012-001;PORTA FUSIBLE UNIVERSAL 12 POSICIONES ( FS-BXH-12);12;PZA;0;AUTO.06;1;0;0;0
GA202-01;CONECTOR 2 VIAS GOMA;0;PZA;0;AUTO.06;1;0;0;0
GAH01-01;CONECTOR VALVULA TEMPERATURA TABLERO AVEO OPTRA CORSA CIELO;0.172;PZA;616;AUTO.06;1;0;0.238;0
GAH01-02;CONEXION TIERRA;0.161;PZA;59;AUTO.06;1;0;0.228;0
GAH01-03;CONECTOR VALVULA TEMPERATURA TABLERO FORD FESTIVA TURPIAL KIA RIO;0.193;PZA;0;AUTO.06;1;0;0.168;0
GAH01-04;HM2500102T6;0;PZA;0;AUTO.06;1;0;0;0
GAH01-05;HN2500102N0;0;PZA;0;AUTO.06;1;0;0;0
GAH01-06;ARNES SOCATE BOMBILLO H1/H3 CABLE GRUESO;0.464;PZA;0;AUTO.06;1;0;0.31;0
GAH02-01;PORTA FUSIBLE DE NYLON AT C/CABLE AWG 16;0.611;PZA;83;AUTO.06;1;0;0.47;0
GAH02-02;PORTA FUSIBLE AT NYLON C/CABLE AWG 14;0.679;PZA;7;AUTO.06;1;0;0.453;0
GAH02-03;ARNES PORTA-FUSIBLE AT (14AM TB250..);1.313;PZA;0;AUTO.06;1;0;0;0
GAH02-04;ARNES PORTA-FUSIBLE CILINDRICO BAKELITA NEGRO (14AM);0.75;PZA;2;AUTO.06;1;0;0.56;0
GAH02-05;ARNES PORTA FUSIBLE CILINDRICO P.P. BLANCO (18RJ);0.142;PZA;19;AUTO.06;1;0;0;0
GAH02-06;SOCATE PARA BOMBILLO 73;0.449;PZA;1064;AUTO.06;1;0;0;0
GAH02-07;CONECTOR 2 VIAS (L) SOCATE FLASHER UNIVERSAL;0.205;PZA;825;AUTO.06;1;0;0;0
GAH02-08;CONECTOR 2 VIAS MOTOR LIMPIA PARABRISAS (T);0.2;PZA;0;AUTO.06;1;0;0;0
GAH02-09;PORTA BOMBILLO 158 T10;0.84;PZA;0;AUTO.06;1;0;0.48;0
GAH02-10;&&&CAMBIAR POR GA002-34…..PORTA FUSIBLE MINI;2.496;PZA;0;AUTO.06;1;0;1.852;0
GAH02-11;CONECTOR PARA INYECTOR GENERAL MOTOR;1.005;PZA;114;AUTO.06;1;0;0.67;0
GAH02-12;&&&GA002-58&&&CONECTOR INYECTOR CORSA/FESTIVA/CIELO;0.944;PZA;0;AUTO.06;1;0;0;0
GAH02-13;ARNES PORTA FUSIBLE CILINDRICO 5X20 P.P. BLANCO (18RJ);0;PZA;0;AUTO.06;1;0;0;0
GAH02-14;PORTA FUSIBLE AT NYLON CABLE AWG 12 (SIN FUSIBLE);0.793;PZA;5;AUTO.06;1;0;0.529;0
GAH02-15;ARNES LINEA ALIMENTACION (AWG14) C/PORTA FUS;0;PZA;0;AUTO.06;1;0;0;0
GAH02-16;CONECTOR SENSOR EGR DE AVEO/OPTRA/NUBIRA;0.867;PZA;0;AUTO.06;1;0;0;0
GAH02-17;CONECTOR FARO DE CORSA;0.688;PZA;391;AUTO.06;1;0;0;0
GAH02-19;ARNES PORTA ?;0;PZA;0;AUTO.06;1;0;0;0
GAH02-20;ARNES PORTA (HN0700201N1 + C);0;PZA;0;AUTO.06;1;0;0;0
GAH02-21;ARNES PORTA (HH0700401N1);0;PZA;0;AUTO.06;1;0;0;0
GAH02-22;ARNES PORTA (HR1870201N1);0;PZA;0;AUTO.06;1;0;0;0
GAH02-23;ARNES PORTA (HR2500202N0);0;PZA;0;AUTO.06;1;0;0;0
GAH02-24;CONECTOR REGULADOR CHEVROLET CON REGULADOR DE VOLTAGE EXTERNO AÑO 1974;0.526;PZA;100;AUTO.06;1;0;0;0
GAH02-25;ARNES PORTA BOMBILLO 158;0.84;PZA;5;AUTO.06;1;0;0.48;0
GAH02-26;CONECTOR COCHINITO MOTO OUTLOOK. RKV. TX. ARSEN2 (2 PINES SET 2 PZAS);0.24;SET;0;AUTO.33;1;0;0;0
GAH02-27;CONECTOR FLASHER MOTO UNIVERSAL (2 PINES);0.24;PZA;0;AUTO.33;1;0;0;0
GAH02-28;CONECTOR SOCATE BOMBILLO H9-H11 NYLON66 HEAVY DUTY;3.24;PZA;0;AUTO.06;1;0;1.89;0
GAH02-29;PORTA FUSIBLE AT NYLON 40AMP CABLE10;1.8;PZA;0;AUTO.06;1;0;0.95;0
GAH03-01;CONECTOR SOCATE H4 SILVIN HIGH HEAT AR-160 HH IVICA;2.175;PZA;46;AUTO.06;1;0;1.45;0
GAH03-02;CONECTOR-ARNES PARA BOMBILLO 9004;0.6;PZA;0;AUTO.06;1;0;0;0
GAH03-021;CONECTOR BOBINA CAPTADORA VW GOL PARATI SAVERIO JETTA;1.62;PZA;13;AUTO.06;1;0;0;0
GAH03-022;CONECTOR SOCATE H4 EXTENSOR CABLE 14 20CM;3.9;PZA;0;AUTO.06;1;0;1.353;0
GAH03-03;ARNES SOCATE BULB 9004 C/CONECTORES;0;PZA;0;AUTO.06;1;0;0;0
GAH03-04;ARNES SOCATE DE SILVIN (AWG 16);1.3;PZA;-29;AUTO.06;1;0;0;0
GAH03-05;CONECTOR ALTERNADOR TOYOTA COROLLA 3 VIA;0.304;PZA;986;AUTO.06;1;0;0;0
GAH03-06;CONECTOR SOCATE SEAL-BEAM TERMINAL BANDERA (AWG 16);0.312;PZA;249;AUTO.06;1;0;0;0
GAH03-07;CONECTOR SOCATE SEAL-BEAM TERMINAL BANDERA (AWG 14);1.14;PZA;937;AUTO.06;1;0;0.972;0
GAH03-09;CONECTOR SOCATE SEAL-BEAM TERMINAL BANDERA (AWG 14) C/TAPA;0;PZA;0;AUTO.06;1;0;0;0
GAH03-10;CONECTOR DISTRIBUIDOR SISTEMA VOLTER G.M. 8 CILINDROS;0;PZA;0;AUTO.06;1;0;0;0
GAH03-11;CONECTOR BOBINA BLAZER Y AVEO (ADAPTADO) SENSOR DE OXIGENO TRAIL BLAZER. BOMBA GAS CHEYEN;0;PZA;0;AUTO.06;1;0;0;0
GAH03-12;ARNES SENSOR TPS DAEWOO NUBIRA;0;PZA;0;AUTO.06;1;0;0;0
GAH03-13;ARNES PORTA (HM0900301T1 + C);0;PZA;0;AUTO.06;1;0;0;0
GAH03-14;ARNES PORTA (HN1100301N3);0;PZA;0;AUTO.06;1;0;0;0
GAH03-15;ARNES 3 VIAS PORTA (HR2500302N1);0;PZA;0;AUTO.06;1;0;0;0
GAH03-16;ARNES 3 VIAS PORTA (HH2500302N6);0;PZA;0;AUTO.06;1;0;0;0
GAH03-17;CONECTOR BOBINA MODELO VIEJO 96/98;0;PZA;0;AUTO.06;1;0;0;0
GAH03-18;CONECTOR TEMPERATURA CORSA. CENTURY. BLAZER;0;PZA;0;AUTO.06;1;0;0;0
GAH03-19;CONECTOR DISTRIBUIDOR FIAT FORD VOLKSWAGEN GOL JETTA GOLF PARATI;1.56;PZA;0;AUTO.06;1;0;0;0
GAH03-20;CONECTOR SENSOR DE VELOCIDAD GM FIAT;1.92;PZA;0;AUTO.06;1;0;0;0
GAH04-01;ARNES MODULO DE CIELO(MINIMO). LANOS. BLAZER. CORSA(BOBINA);0;PZA;0;AUTO.06;1;0;0;0
GAH04-02;CONECTOR RELE ARRANQUE 4 PINES TOYOTA;0;PZA;0;AUTO.06;1;0;0;0
GAH04-04;CONECTOR RELE BOMBA GASOLINA MOTOVENTILADOR TSURU NISSAN 4 PINES;2.871;PZA;10;AUTO.06;1;0;2.45;0
GAH04-05;CONECTOR RELE BOMBA ACEITE DE VENTILADOR NISSAN CEFIRO SYLPHY TRAIL TEANA 4 PINES;2.28;PZA;0;AUTO.06;1;0;0;0
GAH05-01;ARNES SOCATE RALAY 5 POLOS;0;PZA;0;AUTO.06;1;0;1.21;0
GAH05-02;CONECTOR SOCATE RELE 5 PATA CABLE GRUESO;2.6;PZA;0;AUTO.06;1;0;1.1;0
GAH05-03;ARNES SOCATE RELE 5 POLOS HR2500503N1;0;PZA;0;AUTO.06;1;0;0;0
GAH05-04;ARNES SOCATE RALAY 5 POLOS (HH2500503N1);0;PZA;0;AUTO.06;1;0;0;0
GAH05-05;CONECTOR REGULADOR MOTO TX. ARSEN 2. RK200 (5 PINES);1.2;PZA;0;AUTO.33;1;0;0;0
GAH05-06;CONECTOR REGULADOR MOTO OUTLOOK. SUPERSHADOW. VIRAGO (5 PINES);1.2;PZA;0;AUTO.33;1;0;0;0
GAH05-07;CONECTOR CDI MOTO OWEN. GS MODELO NUEVO (5 PINES SET 2 PZAS);1.8;SET;54;AUTO.33;1;0;1.24;0
GAH05-08;CONECTOR SUBE VIDRIOS 5 PINES UNIVERSAL;1.92;PZA;0;AUTO.06;1;0;0;0
GAH05-09;ARNES PORTA-RELE 5 PINES CABLE 100 COBRE;2.37;PZA;0;AUTO.06;1;0;0.98;0
