code;name;cost_max;unit;current_stock;dpto_code;orden;cost_oferta;cost_mayor;cost_min
SH16Z500;"ANILLO TUBULAR 2 HUECOS 1/2"" AWG 3/0 SQ80 SIN AISLAR ESTAÑADO";15.061;PZA;0;FERR.26;3;0;11.368;0
SH17Z500;"ANILLO TUBULAR 2 HUECOS 1/2"" AWG 4/0 SQ100 SIN AISLAR ESTAÑADO";18.497;PZA;0;FERR.26;3;0;13.963;0
SH18Z500;"ANILLO TUBULAR 2 HUECOS 1/2"" AWG 250 MCM SQ125 SIN AISLAR ESTAÑADO";23.715;PZA;110;FERR.26;3;0;17.901;12
SH19Z500;"ANILLO TUBULAR 2 HUECOS 1/2"" AWG 250-300 MCM SQ";0;PZA;0;FERR.26;3;0;0;0
SH20Z500;"ANILLO TUBULAR 2 HUECOS 1/2"" AWG 300 MCM SQ150 SIN AISLAR ESTAÑADO";29.244;PZA;0;FERR.26;3;0;22.075;0
SH21Z500;"ANILLO TUBULAR 2 HUECOS 1/2"" AWG 300-350 MCM";0;PZA;0;FERR.26;3;0;0;0
SH22Z500;"ANILLO TUBULAR 2 HUECOS 1/2"" AWG 350 MCM SQ180 SIN AISLAR ESTAÑADO";37.2;PZA;0;FERR.26;3;0;28.08;0
SH23Z500;"ANILLO TUBULAR 2 HUECOS 1/2"" AWG 400 MCM SQ200 SIN AISLAR ESTAÑADO";44.485;PZA;2;FERR.26;3;0;33.579;0
SH24Z500;"ANILLO TUBULAR 2 HUECOS 1/2"" AWG 500 MCM SQ250 SIN AISLAR ESTAÑADO";55.412;PZA;0;FERR.26;3;0;41.828;0
SH25Z500;"ANILLO TUBULAR 2 HUECOS 1/2"" AWG 600 MCM SIN SIALR ESTAÑADO";79.619;PZA;0;FERR.26;3;0;60.099;0
SH26Z500;"ANILLO TUBULAR 2 HUECOS 1/2"" AWG 650 MCM SQ325 SIN AISLAR ESTAÑADO";0;PZA;0;FERR.26;3;0;0;0
SH27Z500;"ANILLO TUBULAR 2 HUECOS 1/2"" AWG 750 MCM SIN AISLAR ESTAÑADO";100.879;PZA;0;FERR.26;3;0;76.148;0
SH28Z500;"ANILLO TUBULAR 2 HUECOS 1/2"" AWG 800 MCM SQ400 SIN AISLAR ESTAÑADO";0;PZA;1;FERR.26;3;0;0;0
SH29Z500;"ANILLO TUBULAR 2 HUECOS 1/2"" AWG 1000 MCM SQ500 SIN AISLAR ESTAÑADO";131.595;PZA;0;FERR.26;3;0;99.333;0
SK10C-01;CONECTOR PERRO COBRE KS-15 AWG 8-10;0;PZA;0;FERR.29;1;0;0;0
SK11A-01;CONECTOR PERRO ALUMINIO KS-17 AWG 6;0;PZA;0;FERR.29;1;0;0;0
SK11C-01;CONECTOR PERRO COBRE KS-17 AWG 6;0;PZA;0;FERR.29;1;0;0;0
SK12A-01;CONECTOR PERRO ALUMINIO KS-20 AWG 4;0;PZA;0;FERR.29;1;0;0;0
SK12C-01;CONECTOR PERRO COBRE KS-20 AWG 4;0;PZA;0;FERR.29;1;0;0;0
SK13B-01;CONECTOR PERRO BIMETALICO KSU-22 AWG 2;0;PZA;0;FERR.29;1;0;0;0
SK13B-02;CONECTOR PERRO BIMETALICO KSU-23 AWG 1/0;0;PZA;0;FERR.29;1;0;0;0
SK13B-03;CONECTOR PERRO BIMETALICO KSU-26 AWG 1/0;0;PZA;0;FERR.29;1;0;0;0
SK13C-01;CONECTOR PERRO COBRE KS-22 AWG 2;0;PZA;0;FERR.29;1;0;0;0
SK14C-01;CONECTOR PERRO COBRE KS-25 AWG 1/0;0;PZA;0;FERR.29;1;0;0;0
SK15C-01;CONECTOR PERRO COBRE KS-26 AWG 2/0;0;PZA;0;FERR.29;1;0;0;0
SK16C-01;CONECTOR PERRO COBRE KS-27 AWG 3/0;0;PZA;0;FERR.29;1;0;0;0
SK17C-01;CONECTOR PERRO COBRE KS-23 NO- 4;0;PZA;0;FERR.29;1;0;0;0
SK18A-01;CONECTOR PERRO ALUMINIO KS-29 AWG 250MCM;0;PZA;0;FERR.29;1;0;0;0
SK18C-01;CONECTOR PERRO COBRE KS-29 AWG 250MCM;0;PZA;0;FERR.29;1;0;0;0
SK22C-01;CONECTOR PERRO COBRE KS-31 AWG 350MCM;0;PZA;0;FERR.29;1;0;0;0
SK24A-01;CONECTOR PERRO ALUMINIO KS-34 AWG 500MCM;0;PZA;0;FERR.29;1;0;0;0
SK24C-01;CONECTOR PERRO COBRE KS-34 AWG 500MCM;0;PZA;0;FERR.29;1;0;0;0
SK26A-01;CONECTOR PERRO ALUMINIO KS-39 AWG 250 / 750 MCM;0;PZA;0;FERR.29;1;0;0;0
SK26C-01;CONECTOR PERRO COBRE KS-39 AWG 750MCM;0;PZA;0;FERR.29;1;0;0;0
SK27C-01;CONECTOR PERRO COBRE KS-40 AWG 750 MCM / 1000 MCM;0;PZA;0;FERR.29;1;0;0;0
SK28C-01;CONECTOR PERRO COBRE KS-44 AWG 1000MCM;0;PZA;0;FERR.29;1;0;0;0
SKS17TJ;CONECTOR PERRO (CU)T/J-16 8-6AWG EQ KS-17 CEA (67-981);5.803;PZA;9;FERR.29;1;0;4.173;0
SKS22TJ;CONECTOR PERRO (CU)T/J-25 4-2AWG EQ KS-22 CEA (67-983);15.38;PZA;4;FERR.29;1;0;11.667;0
SKS23TJ;CONECTOR PERRO (CU) T/J 35 1/0-2/0 AWG EQ. KS 23 CEA (67-985);15.96;PZA;4;FERR.29;1;0;13.333;0
SKS25TJ;CONECTOR PERRO (CU) T/J 50-70 2/0 AWG EQ. KS 25;16.9;PZA;4;FERR.29;1;0;13.667;0
SKS29TJ;CONECTOR PERRO (CU) T/J 90/120 4/0-250AWG EQ. KS-29CEA (67-989);21.473;PZA;0;FERR.29;1;0;0;0
SL11Z250;"TERMINAL COBRE ESTANADO ALTA TENSION CABLE # 6 HUECO 1/4"" (SQ14)";1.964;PZA;0;FERR.26;2;0;1.14;0.867
SL11Z312;"TERMINAL COBRE ESTANADO ALTA TENSION CABLE # 6 HUECO 5/16"" (SQ14)";2.171;PZA;50;FERR.26;2;0;1.26;0
SL11Z375;"TERMINAL COBRE ESTANADO ALTA TENSION CABLE # 6 HUECO 3/8"" (SQ14)";3.436;PZA;0;FERR.26;2;0;1.995;0
